"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2023","1.320","1.300","1.335","1.250","2.60M","-5.04%"
"06/14/2023","1.390","1.430","1.480","1.310","2.35M","-2.80%"
"06/13/2023","1.430","1.370","1.460","1.333","2.19M","8.33%"
"06/12/2023","1.320","1.280","1.340","1.280","1.52M","-0.75%"
"06/09/2023","1.330","1.450","1.460","1.310","1.98M","-6.99%"
"06/08/2023","1.430","1.410","1.490","1.390","1.06M","0.00%"
"06/07/2023","1.430","1.490","1.540","1.430","1.66M","-4.03%"
"06/06/2023","1.490","1.360","1.500","1.270","2.36M","4.20%"
"06/05/2023","1.430","1.480","1.505","1.380","3.28M","-4.03%"
"06/02/2023","1.490","1.540","1.560","1.470","1.87M","-1.32%"
"06/01/2023","1.510","1.500","1.550","1.460","1.85M","0.67%"
"05/31/2023","1.500","1.490","1.551","1.450","3.60M","-4.46%"
"05/30/2023","1.570","1.620","1.695","1.550","3.26M","4.67%"
"05/26/2023","1.500","1.500","1.590","1.480","1.55M","1.35%"
"05/25/2023","1.480","1.520","1.550","1.440","1.61M","-2.63%"
"05/24/2023","1.520","1.570","1.610","1.500","1.85M","-4.40%"
"05/23/2023","1.590","1.620","1.740","1.580","1.83M","-2.45%"
"05/22/2023","1.630","1.540","1.700","1.480","2.13M","4.49%"
"05/19/2023","1.560","1.650","1.650","1.550","1.10M","-2.50%"
"05/18/2023","1.600","1.630","1.680","1.570","1.57M","-1.84%"
"05/17/2023","1.630","1.530","1.650","1.490","1.67M","3.82%"
"05/16/2023","1.570","1.540","1.625","1.521","1.25M","-0.63%"
"05/15/2023","1.580","1.530","1.625","1.450","2.70M","-1.25%"
"05/12/2023","1.600","1.590","1.617","1.510","2.32M","-1.23%"
"05/11/2023","1.620","1.730","1.730","1.550","2.74M","-6.90%"
"05/10/2023","1.740","1.730","1.830","1.680","3.19M","3.57%"
"05/09/2023","1.680","1.660","1.720","1.660","1.28M","0.60%"
"05/08/2023","1.670","1.780","1.800","1.630","3.04M","-9.24%"
"05/05/2023","1.840","1.790","1.880","1.750","2.10M","3.37%"
"05/04/2023","1.780","1.820","1.880","1.760","2.35M","0.56%"
"05/03/2023","1.770","1.710","1.770","1.601","3.65M","-0.56%"
"05/02/2023","1.780","1.660","1.820","1.610","2.98M","6.59%"
"05/01/2023","1.670","1.690","1.770","1.595","3.21M","-6.18%"
