"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2022","0.880","0.864","0.896","0.780","362.48K","2.55%"
"11/25/2022","0.858","0.819","0.900","0.810","150.89K","4.76%"
"11/23/2022","0.819","0.760","0.840","0.751","313.12K","9.01%"
"11/22/2022","0.751","0.785","0.885","0.750","935.62K","-4.34%"
"11/21/2022","0.785","0.890","0.993","0.751","472.60K","-11.79%"
"11/18/2022","0.890","0.956","0.980","0.839","233.96K","-4.20%"
"11/17/2022","0.929","0.950","1.040","0.884","509.44K","-5.19%"
"11/16/2022","0.980","0.965","1.030","0.860","359.37K","-1.39%"
"11/15/2022","0.994","0.962","1.090","0.900","742.72K","4.61%"
"11/14/2022","0.950","0.932","1.060","0.850","464.49K","-1.13%"
"11/11/2022","0.961","0.849","0.990","0.805","501.61K","17.08%"
"11/10/2022","0.821","0.830","0.923","0.804","652.87K","7.13%"
"11/09/2022","0.766","0.850","0.858","0.748","1.69M","-11.62%"
"11/08/2022","0.867","0.903","0.990","0.838","447.16K","-3.58%"
"11/07/2022","0.899","0.919","0.953","0.880","205.96K","-1.79%"
"11/04/2022","0.915","0.990","0.990","0.850","181.10K","-0.95%"
"11/03/2022","0.924","0.954","0.978","0.920","91.59K","-2.73%"
"11/02/2022","0.950","1.070","1.070","0.890","410.77K","-5.93%"
"11/01/2022","1.010","1.020","1.065","0.980","459.25K","0.00%"
"10/31/2022","1.010","1.170","1.170","1.010","361.06K","-12.17%"
"10/28/2022","1.150","1.090","1.150","1.050","183.89K","4.55%"
"10/27/2022","1.100","1.150","1.170","1.050","815.98K","-6.78%"
"10/26/2022","1.180","0.860","1.230","0.860","2.52M","42.56%"
"10/25/2022","0.828","0.803","0.883","0.800","373.55K","1.87%"
"10/24/2022","0.813","0.800","0.856","0.762","421.04K","1.08%"
"10/21/2022","0.804","0.915","0.932","0.797","281.73K","-9.46%"
"10/20/2022","0.888","0.881","0.950","0.870","237.23K","0.74%"
"10/19/2022","0.881","0.890","0.949","0.821","208.73K","-0.98%"
"10/18/2022","0.890","0.990","1.000","0.860","302.58K","-7.87%"
"10/17/2022","0.966","0.956","1.050","0.930","293.05K","1.67%"
"10/14/2022","0.950","1.010","1.025","0.950","315.38K","-5.93%"
"10/13/2022","1.010","0.970","1.020","0.902","243.17K","0.50%"
"10/12/2022","1.005","1.020","1.037","1.000","160.19K","-3.37%"
"10/11/2022","1.040","1.100","1.130","1.000","632.74K","-7.14%"
"10/10/2022","1.120","1.130","1.135","1.090","405.49K","-1.75%"
"10/07/2022","1.140","1.250","1.250","1.130","233.00K","-10.24%"
"10/06/2022","1.270","1.280","1.330","1.220","296.41K","-3.05%"
"10/05/2022","1.310","1.330","1.370","1.290","225.22K","-6.43%"
"10/04/2022","1.400","1.230","1.480","1.210","466.67K","19.66%"
"10/03/2022","1.170","1.260","1.285","1.130","358.72K","-7.14%"
"09/30/2022","1.260","1.210","1.385","1.200","218.73K","3.28%"
"09/29/2022","1.220","1.320","1.350","1.205","269.20K","-8.96%"
"09/28/2022","1.340","1.330","1.360","1.290","346.13K","2.29%"
"09/27/2022","1.310","1.320","1.400","1.280","395.87K","0.77%"
